id,user,text,date,bueno,malo,grosero,amable,cortes,descortés,agresivo,pasivo,neutral
1589279726555701248,sergio_fajardo,Aquí pueden verla: ,06-11-2022,0.03611231967806816,0.015016065910458565,0.04620490223169327,0.05072436109185219,0.06574854999780655,0.23901771008968353,0.020442334935069084,0.24085691571235657,0.2858768105506897
1589279722755612673,sergio_fajardo,"Qué pienso del presidente @petrogustavo, de su equipo de gobierno, de la  #ReformaTributaria, de la@#PazTotal, la @CoaliEsperanza, las elecciones del 2023. Acá están mis respuestas. Les comparto la entrevista con @JuanDiegoAlvira en @RevistaSemana. ",06-11-2022,0.02321825735270977,0.007588835898786783,0.024428779259324074,0.07191768288612366,0.028377315029501915,0.11274141818284988,0.015275505371391773,0.3811788558959961,0.3352733254432678
1589263013093478401,sergio_fajardo,"Nunca nos debe dar pena hablar, ni luchar, por valores y principios. Escuchen a Obama. ",06-11-2022,0.0039438726380467415,0.0016049363184720278,0.0035573067143559456,0.6567795276641846,0.013465827330946922,0.030398599803447723,0.020361021161079407,0.20552660524845123,0.06436232477426529
1588532291487559681,sergio_fajardo,Merecido Jorge. Siempre felicitaciones ,04-11-2022,0.01972426474094391,0.0008319377084262669,0.044380053877830505,0.7475469708442688,0.01696929521858692,0.028516065329313278,0.004505523014813662,0.056723300367593765,0.08080257475376129
1587042898058612736,sergio_fajardo,Ganó Lula: gran alivio!. Sobrevive la democracia. Ahora veremos cómo es el nuevo Lula que ha superado calamidades e infortunios. Esperamos un hombre sabio que una un país desgarrado por la barbarie de Bolsonaro. Y que no olvide la lucha contra la corrupción.,31-10-2022,0.008794641122221947,0.02223648503422737,0.009080730378627777,0.7479443550109863,0.0048165530897676945,0.055361103266477585,0.0523642860352993,0.06383873522281647,0.03556308150291443
1586843650335674375,sergio_fajardo,Gracias Linda. Así lo vimos y sentimos. Sigan adelante. ,30-10-2022,0.15503552556037903,0.00444291066378355,0.011740302667021751,0.624731183052063,0.007589795161038637,0.050249598920345306,0.008207281120121479,0.02969573624432087,0.10830774903297424
1586035285900476416,sergio_fajardo,Más violencia ciudadana... ,28-10-2022,0.0004501756629906595,0.004896282218396664,0.005014720372855663,0.0005618180730380118,0.000356044591171667,0.023719221353530884,0.9631532430648804,0.0007760386797599494,0.0010724967578426003
1585972320786518019,sergio_fajardo,Otra enferma. El pan de cada día ,28-10-2022,0.01430630125105381,0.016012180596590042,0.12262141704559326,0.05145275220274925,0.008189463056623936,0.27586203813552856,0.008053145371377468,0.09535080939531326,0.40815186500549316
1585964006472552449,sergio_fajardo,"Matoneo, bullying, el pan de cada día en nuestros colegios. Empeorando. La salud mental de Colombia está seriamente averiada. URGENTE. 
",28-10-2022,0.0009743922855705023,0.5222724080085754,0.02859589271247387,0.0014172210358083248,0.0020487408619374037,0.047105640172958374,0.3865186870098114,0.0035182253923267126,0.007548756897449493
1585950383293157376,sergio_fajardo,"El personaje de este vídeo está enfermo. Uno entre muchos. En Colombia avanza a pasos agigantados la enfermedad de la violencia ciudadana. Alimentada por la rabia, que hunde sus raíces en la polarización, si no le ponemos pronto atención a la cultura ciudadana no habrá paz alguna ",28-10-2022,0.00040986077510751784,0.2698204219341278,0.0027395840734243393,0.000630428665317595,0.0005125286406837404,0.01193256676197052,0.7087111473083496,0.0040448508225381374,0.0011987326433882117
1585430461240995840,sergio_fajardo,"Hoy me llegaron estas dos imágenes. Por algo será😇. Un saludo muy especial para Antanas Mockus quien hace mucha falta, en especial estas épocas cuando la cultura ciudadana no se menciona: precisamente cuando más la necesitamos. Feliz noche. ",27-10-2022,0.011265750974416733,0.0009702041861601174,0.004456666763871908,0.9372186660766602,0.0021685485262423754,0.005451755598187447,0.0012538769515231252,0.01908198930323124,0.018132513388991356
1585241121457725440,sergio_fajardo,Gol de García ,26-10-2022,0.004559475928544998,0.0036730472929775715,0.023044908419251442,0.027628056704998016,0.017464032396674156,0.19134992361068726,0.34851956367492676,0.20003385841846466,0.18372710049152374
1585230302947213312,sergio_fajardo,"URGENTE. La educación necesita atención. URGENTE
60 % de los colombianos cree que sus hijos olvidaron lo aprendido por pandemia ",26-10-2022,0.011320658959448338,0.05049337074160576,0.17057181894779205,0.02451832965016365,0.015395182184875011,0.27628085017204285,0.10949383676052094,0.2208871692419052,0.12103874236345291
1585113195395416064,sergio_fajardo,"1. El impuesto a las pensiones altas era y es correcto.El argumento que en su momento dio el ministro Ocampo era y es corecto
2. La eliminación en forma progresiva del servicio militar obligatorio y la creación del servicio social que proponen De la Calle y Carvalho es correcto.",26-10-2022,0.02205146849155426,0.0007178535452112556,0.0005932169151492417,0.002790863160043955,0.8949623703956604,0.002717605559155345,0.0004702460137195885,0.026844751089811325,0.048851627856492996
1585086487250751488,sergio_fajardo,Gobernar es educar. El primer educador del país es hoy el presidente Petro. El ejemplo que con sus actuaciones diarias nos da tiene impacto directo en espíritu de la nación. Así no irá... ,26-10-2022,0.6772811412811279,0.01947840489447117,0.01743488200008869,0.05228493735194206,0.04274201765656471,0.020663108676671982,0.04338693246245384,0.045719701796770096,0.08100883662700653
1585085643406725120,sergio_fajardo,Entrada libre. Este viernes invitados a conversar y discutir sobre el rumbo del país. Librería Wilborada 1047 en Bogotá. Nos vemos ,26-10-2022,0.009049252606928349,0.0049433717504143715,0.047496553510427475,0.24336659908294678,0.011086571961641312,0.371433824300766,0.02049003168940544,0.15327006578445435,0.138863667845726
