,id,user,text,date,match,bueno,malo,neutral
76,445,ingrodolfohdez,Las casas donde están las embajadas las vendemos y con esa plata le pagamos la deuda que los chinos tienen con el ICETEX. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo,Tue May 17 17:33:42 +0000 2022,['plata'],0.2863282859325409,0.34926560521125793,0.36440610885620117
77,449,ingrodolfohdez,"El primer decreto es quitarle el despilfarro de plata que tienen los parlamentarios. Que paguen ellos de su bolsillo su carro, su celular, sus viajes. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo",Tue May 17 17:10:26 +0000 2022,['plata'],0.1478714644908905,0.5704565644264221,0.2816719710826874
78,450,ingrodolfohdez,En la campaña me he gastado 3 mil millones de pesos de mi bolsillo. #EnVivo en #VickyEnSemana @RevistaSemana #ARodolfoLeDigo,Tue May 17 17:08:23 +0000 2022,['campaña'],0.2757948338985443,0.3995422422885895,0.324662983417511
79,452,ingrodolfohdez,"¡Solos, los colombianos y yo vamos a derrotar a las gavillas de Petro y de Fico! 💪🏻🇨🇴

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/No7LVGuJka",Tue May 17 15:34:05 +0000 2022,['Petro'],0.1709969937801361,0.26404523849487305,0.5649576783180237
80,453,ingrodolfohdez,"#MiBolsillo está en esta campaña, no como esos politiqueros corruptos que pagan sus campañas con la plata que le roban a la gente.
#RodolfoPresidente",Tue May 17 15:05:47 +0000 2022,"['campaña', 'campaña', 'plata']",0.2253919392824173,0.29003265500068665,0.48457539081573486
81,455,ingrodolfohdez,"La vacuna 💉contra Petro no es Fico, soy yo!",Tue May 17 11:03:01 +0000 2022,['Petro'],0.27100101113319397,0.08586481958627701,0.6431342363357544
82,489,ingrodolfohdez,"La plata hay que ponerla a producir para que mejore la vida de la gente 🇨🇴💰.

#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 https://t.co/LDMT8TDO3e",Sat May 14 21:34:47 +0000 2022,['plata'],0.4323786497116089,0.24826648831367493,0.3193548619747162
83,493,ingrodolfohdez,"¡Fico es un mentiroso triple redomado! Las encuestas de él, son igual de falsas a esta foto 🤷🏼‍♂️ https://t.co/7x6usM4Qk9",Sat May 14 19:22:35 +0000 2022,['mentiroso'],0.038008809089660645,0.897171139717102,0.06482001394033432
84,505,ingrodolfohdez,"#UnaPatrañaEs que aquí los políticos que se dedicaron a robar y a endeudar el país todos los días, sábado y domingo también, hoy quieran hacerse los salvadores. Los colombianos nos acostamos tranquilos y al despertarnos ya debemos el doble de lo que se debía el día anterior.",Fri May 13 20:58:01 +0000 2022,['robar'],0.2909547984600067,0.3664560914039612,0.3425891101360321
85,508,ingrodolfohdez,"#UnaPatrañaEs que se inventen que hay que resignarse y votar por Petro o por Fico, cuando existe una opción de cambio, de una.
#RodolfoPresidente",Fri May 13 14:47:38 +0000 2022,['Petro'],0.21485039591789246,0.2239442616701126,0.5612053275108337
