,id,user,text,date,descortes,cortes,neutral
25,34,petrogustavo,"Ayer fue el dia del veterano. Sentí mucha emoción cuando condecoré a los resistentes de la Vida. Aquí con excombatientes en Corea.

Hay que hacer cumplir la ley del veterano y ampliar la agenda de beneficios sociales para la base de la Fuerza pública. https://t.co/oKhUAtnNNc",2022-10-09 14:13:30+00:00,0.2688628137111664,0.36728009581565857,0.36385709047317505
26,35,petrogustavo,"El paso del huracán por San Andrés dejo daños leves. Dos lesionados, dos viviendas destruidas, 101 averiadas. Su paso por Providencia fue más leve.

Apenas se restablezcan las operaciones aéreas llegarán las ayudas.",2022-10-09 13:07:23+00:00,0.33035504817962646,0.4313235282897949,0.23832133412361145
27,36,petrogustavo,"Esta foto en mi opinión hará historia.

Es el pacto entre Fedegan y el gobierno del cambio. Garantizar tres millones de hectáreas que se comprarán, de máxima fertilidad con destino al campesinado.

El pacto social y la paz son posibles. https://t.co/JlJNrH8WxG",2022-10-08 23:53:03+00:00,0.21236002445220947,0.372693806886673,0.41494619846343994
28,37,petrogustavo,"La Casa Blanca da un paso fundamental para cambiar la visión de la lucha contra las drogas.

El consumidor de marihuana no será tratado como delincuente. https://t.co/SKAsMEnDsg",2022-10-08 19:54:08+00:00,0.27477627992630005,0.30163607001304626,0.4235876500606537
29,38,petrogustavo,"Estamos en Alerta máxima. Es altamente probable que tormenta Julia pase a Huracán y llegue a San Andrés entre 7 y 9 de la noche.

PMU listo desde las 4 am. Toda la infraestructura hotelera debe abrir espacio para refugios a poblacion vulnerable.",2022-10-08 14:26:15+00:00,0.43654000759124756,0.3019707500934601,0.2614891529083252
30,39,petrogustavo,Los Diálogos Regionales Vinculantes no paran. Pronto llegaremos a tu región. #ColombiaTienesLaPalabra https://t.co/lTCnP8VcqW,2022-10-07 18:44:44+00:00,0.33913329243659973,0.40988510847091675,0.2509816288948059
31,40,petrogustavo,"Mantenemos la vigilancia por posibilidad de huracán para las islas de San Andrés, Providencia y Santa Catalina. La @UNGRD ya está desplegando la instalación de refugios y atendiendo de primera mano esta situación.",2022-10-07 13:53:00+00:00,0.35723453760147095,0.2804228365421295,0.3623426556587219
32,41,petrogustavo,Un acuerdo histórico. https://t.co/ZFG5xQ9Qiz,2022-10-06 22:52:56+00:00,0.26765888929367065,0.4825766682624817,0.24976445734500885
33,42,petrogustavo,"Avanzar hacia un modelo de desarrollo sostenible y crear un sistema justo de tributación, donde los que más tienen sean los que más tributen, son los objetivos de la reforma que presentamos. Agradezco a las Comisiones Económicas por su aprobación en primer debate.",2022-10-06 22:47:01+00:00,0.24496498703956604,0.3154681921005249,0.4395667612552643
34,43,petrogustavo,"El interés del gobierno es consolidar una política fiscal sostenible, fundamentada en ingresos corrientes y en la reducción de la dependencia de la deuda. La reforma tributaria es importante en su finalidad de equidad y como factor anticíclico en la recesión mundial venidera.",2022-10-06 16:09:33+00:00,0.2318449169397354,0.3351203203201294,0.4330347776412964
35,44,petrogustavo,"Estimada Cristina, la independencia del Banco de la República frente a mi, no significa que la sociedad, ni que como Presidente podamos cuestionar  analizar y debatir públicamente sus decisiones y las consecuencias de ellas. https://t.co/QiSlJwTs1q",2022-10-05 14:53:44+00:00,0.42221832275390625,0.246798574924469,0.33098313212394714
36,45,petrogustavo,Buscaremos fortalecer la banca pública y aumentar la competencia en el sector financiero para lograr tasas de interés bajas en el sector productor de alimentos y la economía popular urbana en proceso de industrialización.,2022-10-05 13:38:44+00:00,0.2628989517688751,0.30840274691581726,0.42869833111763
37,46,petrogustavo,"El gobierno profundizará su política anti inflacionaria con medidas estructurales. La reforma tributaria a grandes fortunas, el subsidio a fertilizantes, la reforma agraria, la alimentación en barrios pobres, y el cambio de la formula tarifaria de energía.",2022-10-05 13:38:43+00:00,0.3578755557537079,0.27802905440330505,0.3640953600406647
38,47,petrogustavo,La Corte constitucional ordenó al Banco de la República ajustar sus decisiones al crecimiento de la economía y el empleo. El ascenso de la tasa de interés va contra el crecimiento económico y el empleo de los colombianos.,2022-10-05 13:38:43+00:00,0.42506399750709534,0.33313894271850586,0.24179711937904358
39,48,petrogustavo,"La intensión real de subir los intereses internos, en contra de nuestra propuesta, tiene que ver es con evitar salida de capitales por el ascenso de la tasa de interés de los EEUU. Se podía evitar con un impuesto transitorio de remesas a capitales golondrinas.",2022-10-05 13:38:43+00:00,0.6075369119644165,0.14534991979599,0.2471131831407547
40,49,petrogustavo,"El ascenso de la tasa de interés interna, a la que se opuso el ministro de hacienda, pero contó con el respaldo de la totalidad de la junta directiva de Banco de la República solo trasladará la recesión mundial a la economía colombiana.",2022-10-05 13:38:42+00:00,0.5306177735328674,0.17363519966602325,0.2957470118999481
41,50,petrogustavo,"El precio de los alimentos sigue jalonando el ritmo inflacionario de Colombia; esta vez menos por la inflación internacional, más por las inundaciones. Servicios de energía disminuyen su impacto.

¿Sirve subir la tasa de interés para contener la inflación?: No. https://t.co/qGioPcvjR8",2022-10-05 13:38:42+00:00,0.5263980627059937,0.16217803955078125,0.3114238977432251
42,51,petrogustavo,"Desde Caracas se reanudan los diálogos de paz oficialmente entre nuestro gobierno y el ELN, junto a los paises garantes de Venezuela, Cuba y Noruega. https://t.co/FVZnyKJ8IX",2022-10-04 17:00:36+00:00,0.27686119079589844,0.326768159866333,0.39637061953544617
43,52,petrogustavo,"El costo de rehabilitación de las casas de huespedes en que efectuó mi gobierno es diez veces más bajo que en el 2014 y tres veces más bajo que en el 2018.

Ningun bien comprado pertenece al presidente, son inventariados y hacen parte de los bienes públicos de la Nación",2022-10-04 13:55:13+00:00,0.519338846206665,0.19134776294231415,0.2893133759498596
44,53,petrogustavo,En todo el palacio de Nariño solo hay una pantalla de máxima definición disponible: 8k que es necesaria para varias informaciones que la presidencia recibe. Su costo es exactamente el del mercado como puede establecer cualquiera que mire pantallas 8k de 85' en internet.,2022-10-04 13:49:41+00:00,0.3310871422290802,0.4481714069843292,0.2207414209842682
