,user,text,date
25,petrogustavo,"Me reuno con la comunidad embera víctima de desplazamiento y ubicada en Bogotá. Hace un mes no tienen agua potable, viven hacinados más de 1200 personas donde solo caben 400. Han visto morir 21 de sus integrantes la mayoria niños en Bogotá ",Thu Oct 20 05:09:04 +0000 2022
26,petrogustavo,"Dicho y hecho. Con el batallón de ingenieros se pone un puente tipo Bailey en el barrio 3 de abril en Uribia, Guajira, donde centenares de niños arriesgaban sus vidas diariamente al cruzar el arroyo que crecio por la tormenta Julia. ",Thu Oct 20 02:18:21 +0000 2022
27,petrogustavo,"Todo miembro de la policia, todo funcionario público, igual que toda persona, es sujeto de derechos humanos. Es tambien violador de derechos humanos el que agrede en estado de indefensión a un policía",Wed Oct 19 22:48:50 +0000 2022
28,petrogustavo,La ausencia de diálogo siempre genera más violencia. Rechazo y condeno los actos vividos hoy en Bogotá. Varios miembros de la Fuerza Pública y civiles resultaron heridos. Nunca será protesta la agresión a un policía.,Wed Oct 19 22:38:45 +0000 2022
29,petrogustavo,Ahora en Barrancabermeja entregando 400 titulos de propiedad de vivienda a  familias la mayoría dirigidas por mujeres a través de un programa nacional de la superintendencia de notariado del gobierno nacional y con ayuda de alcaldia y gobernación de Santander. ,Wed Oct 19 20:41:55 +0000 2022
30,petrogustavo,El unico dueño del gobierno es el pueblo. ,Wed Oct 19 18:38:45 +0000 2022
31,petrogustavo,En el dialogo social de Urabá. La movilización del pueblo para ser dueño de Colombia es fundamental ,Wed Oct 19 16:49:50 +0000 2022
32,petrogustavo,"Sigue el rebote de la economía colombiana con gran aliento.

Entre las cifras no analizadas, un crecimiento del turismo extranjero de cerca del 178% respecto al.año pasado. El turismo será el gran oferente de divisas en el corto plazo de Colombia. ",Wed Oct 19 14:23:35 +0000 2022
33,petrogustavo,"Con la delegación de senadores de la comisión de Relaciones Exteriores del Congreso de los EEUU, encabezada por el senador Bob Menéndez y de tipo bipartidista. ",Wed Oct 19 02:17:23 +0000 2022
34,petrogustavo,"Hemos presentado hoy al Congreso de la República, el proyecto de ley que crea el ministerio de la Igualdad.

Primer objetivo: la igualdad del hombre y la mujer, empoderamiento del territorio excluido, de las minorías étnicas, de la juventud y de las comunidades LBTIQ+ ",Tue Oct 18 20:37:34 +0000 2022
35,petrogustavo,"Decrecer en los países de más altas emisiones de CO2 y crecer sosteniblemente en América Latina.

",Tue Oct 18 13:28:27 +0000 2022
36,petrogustavo,Agradezco al Reino Unido por su decisión de quitar la exigencia de Visa de turismo a los visitantes colombianos.,Tue Oct 18 00:12:26 +0000 2022
37,petrogustavo,"Hemos terminado de subcampeones de los juegos suramericanos. Felicitaciones a toda la delegación de deportistas mujeres y hombres que participaron. La atención será sobre los juegos olímpicos con el cambio del modelo deportivo del pais.

El centro será el deporte en el colegio. ",Sun Oct 16 14:29:58 +0000 2022
38,petrogustavo,En el lanzamiento del dialogo regional de Cali. Que el Plan de desqarollo de Colombia lo dibuje las manos multicolores del pueblo. ,Sat Oct 15 19:54:42 +0000 2022
39,petrogustavo,"Mi entrevista para el mundo en ""The Economist"". ",Thu Oct 13 19:27:25 +0000 2022
40,petrogustavo,"Editorial de ""The Economist"", en donde se menciona nuestra estrategia sobre las drogas y los cambios de política en los EEUU. ",Thu Oct 13 15:37:17 +0000 2022
41,petrogustavo,"Discurso completo en Caldono, Cauca. El por qué de la necesidad de la organizació  y la movilización popular para asegurar el gobierno del cambio

",Thu Oct 13 03:22:49 +0000 2022
42,petrogustavo,"Caldono, Cauca. ",Thu Oct 13 01:57:55 +0000 2022
43,petrogustavo,Deja de sembrar cizaña Yesid. El enemigo interno es el acumulado de normas y pasos hechos en la administración nacional durante décadas para defender intereses particulares poderosos e impedir los cambios en favor de la gente. ,Thu Oct 13 01:13:18 +0000 2022
44,petrogustavo,"Este 12 de Octubre, el dia de la resistencia, con los indígenas , con las negritudes 

Caldono, Cauca. ",Wed Oct 12 19:35:48 +0000 2022
45,petrogustavo,El gobierno nacional no ha tomado decision alguna sobre tarifas del SOAT y esta no se tomará sin el Presidente.,Wed Oct 12 17:05:35 +0000 2022
46,petrogustavo,"Ha sido aprobado como ley el tratado internacional de Escazú, que busca proteger el medio ambiente y las y los ambientalistas.

Felicitaciones al Congreso y a la sociedad colombiana.",Tue Oct 11 01:42:30 +0000 2022
47,petrogustavo,"Uribia, Guajira. En medio del desastre. ",Mon Oct 10 22:20:54 +0000 2022
48,petrogustavo,"Hemos llegado a Uribia, Norte de la Guajira. Zona de desastre. ",Mon Oct 10 19:07:05 +0000 2022
49,petrogustavo,"Le agradezco al Fiscal General de la Nación que reconstruya el inventario de bienes en extinción de dominio que se le entregó a la Direccion Nacional de Estupefacientes, hoy SAE.

Podemos estar ante uno de los peores hechos de corrupción de la historia.",Mon Oct 10 13:13:38 +0000 2022
50,petrogustavo,San Andres. ,Sun Oct 09 21:32:48 +0000 2022
51,petrogustavo,"Estoy San Andres Islas, evaluó daños y sobre todo el sistema de prevención y resiliencia de la Isla.",Sun Oct 09 19:16:00 +0000 2022
52,petrogustavo,"Ayer fue el dia del veterano. Sentí mucha emoción cuando condecoré a los resistentes de la Vida. Aquí con excombatientes en Corea.

Hay que hacer cumplir la ley del veterano y ampliar la agenda de beneficios sociales para la base de la Fuerza pública. ",Sun Oct 09 14:13:30 +0000 2022
53,petrogustavo,"El paso del huracán por San Andrés dejo daños leves. Dos lesionados, dos viviendas destruidas, 101 averiadas. Su paso por Providencia fue más leve.

Apenas se restablezcan las operaciones aéreas llegarán las ayudas.",Sun Oct 09 13:07:23 +0000 2022
54,petrogustavo,"Esta foto en mi opinión hará historia.

Es el pacto entre Fedegan y el gobierno del cambio. Garantizar tres millones de hectáreas que se comprarán, de máxima fertilidad con destino al campesinado.

El pacto social y la paz son posibles. ",Sat Oct 08 23:53:03 +0000 2022
55,petrogustavo,"La Casa Blanca da un paso fundamental para cambiar la visión de la lucha contra las drogas.

El consumidor de marihuana no será tratado como delincuente. ",Sat Oct 08 19:54:08 +0000 2022
56,petrogustavo,"Estamos en Alerta máxima. Es altamente probable que tormenta Julia pase a Huracán y llegue a San Andrés entre 7 y 9 de la noche.

PMU listo desde las 4 am. Toda la infraestructura hotelera debe abrir espacio para refugios a poblacion vulnerable.",Sat Oct 08 14:26:15 +0000 2022
57,petrogustavo,Los Diálogos Regionales Vinculantes no paran. Pronto llegaremos a tu región. #ColombiaTienesLaPalabra ,Fri Oct 07 18:44:44 +0000 2022
58,petrogustavo,"Mantenemos la vigilancia por posibilidad de huracán para las islas de San Andrés, Providencia y Santa Catalina. La @UNGRD ya está desplegando la instalación de refugios y atendiendo de primera mano esta situación.",Fri Oct 07 13:53:00 +0000 2022
59,petrogustavo,Un acuerdo histórico. ,Thu Oct 06 22:52:56 +0000 2022
60,petrogustavo,"Avanzar hacia un modelo de desarrollo sostenible y crear un sistema justo de tributación, donde los que más tienen sean los que más tributen, son los objetivos de la reforma que presentamos. Agradezco a las Comisiones Económicas por su aprobación en primer debate.",Thu Oct 06 22:47:01 +0000 2022
61,petrogustavo,"El interés del gobierno es consolidar una política fiscal sostenible, fundamentada en ingresos corrientes y en la reducción de la dependencia de la deuda. La reforma tributaria es importante en su finalidad de equidad y como factor anticíclico en la recesión mundial venidera.",Thu Oct 06 16:09:33 +0000 2022
62,petrogustavo,"Estimada Cristina, la independencia del Banco de la República frente a mi, no significa que la sociedad, ni que como Presidente podamos cuestionar  analizar y debatir públicamente sus decisiones y las consecuencias de ellas. ",Wed Oct 05 14:53:44 +0000 2022
63,petrogustavo,Buscaremos fortalecer la banca pública y aumentar la competencia en el sector financiero para lograr tasas de interés bajas en el sector productor de alimentos y la economía popular urbana en proceso de industrialización.,Wed Oct 05 13:38:44 +0000 2022
64,petrogustavo,"El gobierno profundizará su política anti inflacionaria con medidas estructurales. La reforma tributaria a grandes fortunas, el subsidio a fertilizantes, la reforma agraria, la alimentación en barrios pobres, y el cambio de la formula tarifaria de energía.",Wed Oct 05 13:38:43 +0000 2022
65,petrogustavo,La Corte constitucional ordenó al Banco de la República ajustar sus decisiones al crecimiento de la economía y el empleo. El ascenso de la tasa de interés va contra el crecimiento económico y el empleo de los colombianos.,Wed Oct 05 13:38:43 +0000 2022
66,petrogustavo,"La intensión real de subir los intereses internos, en contra de nuestra propuesta, tiene que ver es con evitar salida de capitales por el ascenso de la tasa de interés de los EEUU. Se podía evitar con un impuesto transitorio de remesas a capitales golondrinas.",Wed Oct 05 13:38:43 +0000 2022
67,petrogustavo,"El ascenso de la tasa de interés interna, a la que se opuso el ministro de hacienda, pero contó con el respaldo de la totalidad de la junta directiva de Banco de la República solo trasladará la recesión mundial a la economía colombiana.",Wed Oct 05 13:38:42 +0000 2022
68,petrogustavo,"El precio de los alimentos sigue jalonando el ritmo inflacionario de Colombia; esta vez menos por la inflación internacional, más por las inundaciones. Servicios de energía disminuyen su impacto.

¿Sirve subir la tasa de interés para contener la inflación?: No. ",Wed Oct 05 13:38:42 +0000 2022
69,petrogustavo,"Desde Caracas se reanudan los diálogos de paz oficialmente entre nuestro gobierno y el ELN, junto a los paises garantes de Venezuela, Cuba y Noruega. ",Tue Oct 04 17:00:36 +0000 2022
70,petrogustavo,"El costo de rehabilitación de las casas de huespedes en que efectuó mi gobierno es diez veces más bajo que en el 2014 y tres veces más bajo que en el 2018.

Ningun bien comprado pertenece al presidente, son inventariados y hacen parte de los bienes públicos de la Nación",Tue Oct 04 13:55:13 +0000 2022
71,petrogustavo,En todo el palacio de Nariño solo hay una pantalla de máxima definición disponible: 8k que es necesaria para varias informaciones que la presidencia recibe. Su costo es exactamente el del mercado como puede establecer cualquiera que mire pantallas 8k de 85' en internet.,Tue Oct 04 13:49:41 +0000 2022
72,petrogustavo,"Asi quedaron las habitaciones de las personas que atienden los servicios de las casas. Tienen las mismas colchas y sabanas de la habitación de mi hija.

¿Sabian que revisados minuciosamente compra por compra, ningún articulo comprado presentó sobrecostos? ",Tue Oct 04 13:21:15 +0000 2022
73,petrogustavo,"Sabían que de las 35 habitaciones que hacen parta de la casa de huespedes de Cartagena, de Hatogrande, de la casa de la vicepresidencia y de la Casa de Nariño, Francia solo icupa una habitacion y yo ocupo dos?

Miren como recibimos las cortinas en Casa de Nariño ",Tue Oct 04 13:14:01 +0000 2022
74,petrogustavo,"¿Sabían que compra de colchas  cobijas y sábanas tenía como uno de sus propósitos que las personas del servicio tuvieran las mismas comodidades que los huéspedes en el Palacio de Nariño?

Lo que encontramos fue discriminación absoluta frente a su comida y sus habitaciones ",Tue Oct 04 13:03:05 +0000 2022
75,petrogustavo,"Un análisis de la fracasada guerra contra las drogas en la que metió Nixon a todas las américas.

",Tue Oct 04 12:08:31 +0000 2022
76,petrogustavo,Mi regalo a Blinken. ,Tue Oct 04 11:58:07 +0000 2022
77,petrogustavo,"Le deseo una pronta recuperación al senador @RoyBarreras, un abrazo de solidaridad y mucha fortaleza para él y su familia en este difícil momento.",Tue Oct 04 02:42:15 +0000 2022
78,petrogustavo,"El día de hoy me reuní con el @SecBlinken y conversamos sobre la cooperación conjunta en materia de cambio climático, una verdadera política de drogas y la lucha contra la corrupción. Fortaleceremos la relación entre Estados Unidos y Colombia en estos proyectos integrales. ",Tue Oct 04 00:52:07 +0000 2022
79,petrogustavo,"El gran problema de Colombia es la enorme desigualdad social heredada de la esclavitud.

De allí surgen otros problemas como la guerrilla o el narcotráfico. ",Mon Oct 03 13:37:35 +0000 2022
80,petrogustavo,"¿Quién asesinó al militante del Pacto Histórico Juan Gabriel Rueda, en Salgar, Antioquia?

Juan Gabriel fué coordinador de mi campaña en ese municipio. A @FiscaliaCol le corresponde coordinar la investigación. ",Mon Oct 03 03:38:27 +0000 2022
81,petrogustavo,Felicito a Lula por su victoria en primera vuelta. Felicito al pueblo brasileño por su enorme participación electoral ,Mon Oct 03 00:34:31 +0000 2022
82,petrogustavo,"No podemos cantar victoria pero el mes de septiembre es el mes durante el año donde murieron menos líderes sociales y uno de los de menos masacres y muertes de excombatientes que firmaron por la paz.

",Sun Oct 02 23:59:06 +0000 2022
83,petrogustavo,,Sun Oct 02 16:42:39 +0000 2022
84,petrogustavo,,Sun Oct 02 16:35:21 +0000 2022
85,petrogustavo,,Sun Oct 02 16:13:01 +0000 2022
86,petrogustavo,"La jornada convocada por la Iglesia Catolica: ""No matarás, no desapareceras"" es un enorme aporte a la Paz de Colombia. GRACIAS. ",Sun Oct 02 14:20:48 +0000 2022
87,petrogustavo,"El segundo hombre más rico de Colombia está de acuerdo con nuestra propuesta tributaria.

Quien gana más debe pagar más. A eso se le llama justicia tributaria y social y quien cree en estos conceptos tiene conciencia social.
 ",Sun Oct 02 14:12:22 +0000 2022
88,petrogustavo,,Sun Oct 02 01:45:46 +0000 2022
89,petrogustavo,,Sun Oct 02 01:25:39 +0000 2022
90,petrogustavo,,Sat Oct 01 20:01:14 +0000 2022
91,petrogustavo,Hoy superamos la velocidad del sonido en un Kfir. Compartimos con el cuerpo de pilotos élite de la Fuerza Aérea ,Sat Oct 01 19:37:51 +0000 2022
92,petrogustavo,"Duele mucho ver partir a un joven lleno de sueños y con todo un futuro por delante. A la familia del boxeador santandereano Luis Quiñones: un abrazo de corazón, lamento mucho este difícil momento. ",Fri Sep 30 13:12:09 +0000 2022
93,petrogustavo,Una enorme felicitación a nuestra vicepresidente. ,Fri Sep 30 03:10:12 +0000 2022
94,petrogustavo,"Leonardo Párraga, un joven colombiano de 29 años, artista y fundador de la Fundación BogotArt fue reconocido por la ONU por su liderazgo. 
¡Un gran reconocimiento para Leonardo por su defensa a la paz! ",Thu Sep 29 21:50:55 +0000 2022
95,petrogustavo,,Thu Sep 29 18:48:01 +0000 2022
96,petrogustavo,"Le informó a la ciudadanía que se han abierto los procesos de licitación para restaurar el hospital San juan de Dios de Bogotá en coordinación con la alcaldía.

La nación comenzará con la restauración del Materno Infantil y la casa Siberia, continuaremos con los pabellones",Thu Sep 29 13:08:39 +0000 2022
97,petrogustavo,El plan de desarrollo debe expresar la visión múltiple de la ciudadanía sobre sus regiones y territorios. Se trata de volver realidad la Democracia.,Wed Sep 28 23:49:33 +0000 2022
98,petrogustavo,"A los marchantes del sur del país, gracias por su apoyo. Que millones participen en los diálogos regionales para que el pueblo haga el Plan de Desarrollo. ",Wed Sep 28 23:38:38 +0000 2022
99,petrogustavo,La Mojana recibe ayuda humanitaria. Desde hace más de un año los campesinos no pueden cultivar por las inundaciones y la vertiente del rio Cauca con mercurio sobre su territorio. ,Wed Sep 28 13:38:14 +0000 2022
