,user,text,date,match
2,ingrodolfohdez,"Aprovechando la posibilidad que tengo como Senador, propongo ajustar la Ley 80, la cual está permitiendo que se roben la plata de los colombianos, con esta reforma se eliminaría tanta corrupción en medio de las contrataciones pública. 📜🖋️ #ProyectoDeLey

https://t.co/lqu5GGMFJ9",Sat Oct 08 01:23:08 +0000 2022,['plata']
5,ingrodolfohdez,"#AusteridadEs No gastar más plata de la que entra, y mucho menos en pendejadas. https://t.co/LLNqWr949v",Mon Oct 03 12:57:43 +0000 2022,['plata']
6,ingrodolfohdez,"#UnDespilfarroEs destinar la plata del trabajo de los colombianos en burocracia, viajes en primera clase y hoteles de lujo.",Fri Sep 30 12:44:23 +0000 2022,['plata']
14,ingrodolfohdez,"Aquí están los radicados de la #denuncia del caso de corrupción de la gobernadora de Arauca, Espero las entidades y el Ministro @AlfonsoPrada no esperen hasta que termine el mandato del gobierno Petro para hacer algo. 🚨 

@FiscaliaCol @CGR_Colombia @sicsuper https://t.co/FKOdOtQxC0",Sat Sep 24 14:20:48 +0000 2022,['Petro']
20,ingrodolfohdez,"Iniciando la semana con mi UTL del Senado con quienes estoy trabajando para modificar esas leyes que están permitiendo que los pícaros y los politiqueros hagan negocios y contratos con el estado y así robarse la plata de todos los Colombianos. 📜🇨🇴

#RodolfoHernandez #Congreso https://t.co/E8VyiMUfn3",Mon Sep 19 14:55:44 +0000 2022,"['robar', 'plata']"
23,ingrodolfohdez,"#TocarLasPensionesEs ¡Una locura! si quieren regalar plata, que sea de la que el gobierno deje de despilfarrar.",Wed Sep 14 14:08:59 +0000 2022,['plata']
36,ingrodolfohdez,"#EsUnAtropello lo que hacen los políticos con nuestros impuestos.

La plata la malgastan, se la roban, la despilfarran, ¡y no pasa nada!

¿Y así quieren hacer la #ReformaTributaria para darles más plata?

https://t.co/zxJHtIw4g2",Sat Aug 27 14:31:58 +0000 2022,"['plata', 'plata']"
38,ingrodolfohdez,"La nueva fecha de adjudicación es el 15 de septiembre, les pido que actúen y revoquen esa licitación.

Porque después que la adjudiquen, hay que darles la plata así no hagan la obra.

#Denuncia #Corrupcion #Casanare",Thu Aug 25 22:59:43 +0000 2022,['plata']
50,ingrodolfohdez,#NoCreoEn una Reforma Tributaria que va a recoger plata sin saber: ¿por qué vamos a recoger? y ¿por qué no alcanza la que hoy recogen?... !Eso es absurdo! https://t.co/dg50ITZL3Q,Thu Aug 18 14:00:12 +0000 2022,['plata']
56,ingrodolfohdez,"#CoherenciaEs Antes de querer joder a los colombianos con más impuestos, que primero aprendan a no gastar y dejar el derroche de la plata pública.",Tue Aug 16 13:27:05 +0000 2022,['plata']
57,ingrodolfohdez,"¡Es una alcahuetería! No podemos seguir gastándonos la plata de la ciudadanía.

Quiero invitar a todos mis compañeros en el @SenadoGovCo a que hagan lo mismo.

Y ojalá esta platica pueda ser girada para abonarle a las deudas que tienen los jóvenes más pobres con el @ICETEX https://t.co/RByZtY0Sw7",Sat Aug 13 12:31:45 +0000 2022,['plata']
59,ingrodolfohdez,#NoEsTardePara frenar la Reforma Tributaria y revisar primero en dónde es que se están robando la plata de los impuestos de los Colombianos.,Thu Aug 11 14:06:11 +0000 2022,['plata']
61,ingrodolfohdez,"Hoy inician 4 años del gobierno que eligieron los Colombianos, le deseo al @petrogustavo un buen gobierno, y sepa que voy a estar vigilante de cada paso que de para garantizar que le cumpla al pueblo Colombiano.",Sun Aug 07 22:15:57 +0000 2022,['petro']
