,user,text,date,match
568,petrogustavo,"Banda criminal la de Vitalogic, ¿podrÍa desmentirme que el dueño de esa empresa que le quería dar millones de dólares a su hijo si era contratada por usted, no fué extraditado por lávado de dólares a Rumania? Eso si es una banda criminal RH https://t.co/ytH2u6G7Zs",Fri Jun 10 17:06:46 +0000 2022,['hijo']
598,petrogustavo,"Con Harold, hijo de Genoveva y hermano de Kevin, quien fué asesinado.

Quiere ser bailarín profesional, difícil la competencia. https://t.co/cn0KF5Kxjh",Thu Jun 09 16:13:11 +0000 2022,['hijo']
602,petrogustavo,"Me comprometo a iniciar una búsqueda a profundidad de la hija adoptiva de mi contrincante, al igual de los decenas de miles de desaparecidos que hoy tiene Colombia.

La desaparición  es la peor violación de Derechos Humanos en el país. https://t.co/zAwGU8qPI1",Thu Jun 09 12:50:38 +0000 2022,['hija']
644,petrogustavo,"Costaron siglos las luchas de las mujeres para lograr derechos, no dejemos que Colombia retroceda quitándoselos.

El estado debe ser compañero de la madre, de la mujer que lucha por sus hijos, jamás un estado que le quite derechos a las mujeres.",Tue Jun 07 18:26:22 +0000 2022,['hijo']
681,petrogustavo,"Ni yo, ni mis hijos , ni mi esposa tienen empresas fuera del país y menos en paraísos fiscales. He sido durante 30 años, el que ha denunciado los principales hechos de corrupción en Colombia. El cambio es para sacar los corruptos del poder. No los elija. https://t.co/AHn2bAD5G4",Mon Jun 06 15:19:06 +0000 2022,['hijo']
695,petrogustavo,La diferencia entre ayudar a los recicladores humildes o ayudar al hijo a ganarse 3 millones de dolares con un  contrato de aseo siendo alcalde. ¿Dónde está la corrupción? https://t.co/8W2pTdfxj0,Mon Jun 06 01:49:34 +0000 2022,['hijo']
725,petrogustavo,"Un gobierno amigo del pescador, que ayude a la esucaion de sus hijos, que lleve el SENA, que pueda pensionar al hombre y a la mujer por su trabajo. In gobierno amigo del agua y de la vida, eso es lo que propongo, esa es la paz.",Sat Jun 04 14:52:58 +0000 2022,['hijo']
726,petrogustavo,"Miles de familias viven de la pesca en Colombia. Las avalanchas provocadas por la deforestación en los ríos, el plástico, la dinamita son los asesinos de la vida en el rio. Arnulfo apenas termino la primaria y sus hijas ya acaban la universidad. El rio ha sido su padre https://t.co/PRR5tln7xY",Sat Jun 04 14:52:55 +0000 2022,['hija']
758,petrogustavo,"De algo pueden estar seguros. Mis hijos e hijas jamás aparecerán firmando conisiones en notaria por negocios que se hacen desde el estado, o volteando tierras para hacer zonas francas.

He buscado que su mayor fortaleza sea la educación y la libertad.
 https://t.co/xbemzTqDLe",Wed Jun 01 11:05:25 +0000 2022,"['hijo', 'hija']"
775,petrogustavo,"Gracias hijos e hijas por esta carta tan hermosa. 

https://t.co/aQ7rbLwvVt",Mon May 30 13:26:00 +0000 2022,"['hijo', 'hija']"
803,petrogustavo,Con Kellyth Garces y su hijo Justin. Ella fue la persona que trabaja en aseo en Medellin y que fué acosada por un militante del uribismo solo por llevar propaganda del Cambio por la Vida https://t.co/teCdk6AMDd,Sun May 29 00:41:28 +0000 2022,['hijo']
821,petrogustavo,Final de mi debate anoche. Con mi hija Sofía. https://t.co/6CqRu53Cir,Sat May 28 12:34:03 +0000 2022,['hija']
850,petrogustavo,Mi hija Andrea y mi nieta Victoria. https://t.co/CQ8Cl2MGcg,Fri May 27 00:14:08 +0000 2022,['hija']
856,petrogustavo,Esto se llama cinismo. La Procuradora es la responsable de violar el voto en Medellín y por eso las consecuencias son las de desatar el odio incluso contra menores de edad: Las hijas del alcalde. https://t.co/68jc0AQiVp,Thu May 26 19:29:21 +0000 2022,['hija']
859,petrogustavo,"Que tal esta mentira de la otra campaña. Videos de hijas falsas contra Francia.
 https://t.co/2HgS6xzrit",Thu May 26 19:14:38 +0000 2022,['hija']
885,petrogustavo,Cuando valoras cuanto costaría el programa de ingreso solidario a madres cabeza de hogar con hijos en la primera infancia dices que son  5 millones de hogares y es un millón de hogares que valen 6 billones de pesos y ya el gobierno paga 1 billón. El gasto nuevo es de 5 billones.,Tue May 24 12:05:57 +0000 2022,['hijo']
1134,petrogustavo,"El clan del Golfo es hijo del paramilitarismo que se creo en el Urabá a partir de las ""Convivir"" de Uribe.

Planteó un sometimiento colectivo a la Justicia que no aceptaron porque le tenían temor a que se rebelara las relaciones entre la política y el poder y el crimen.",Fri May 06 14:21:25 +0000 2022,['hijo']
1139,petrogustavo,"El clan del golfo es el hijo del paramilitarismo que se creo en el Urabá con las convivir de Uribe

El clan hizo una propuesta de desmovilización que no fueron capaz de aceptar porque sabían que de ahí salía la verdad de la alianza de la politica y del poder con el crimen",Fri May 06 13:59:55 +0000 2022,['hijo']
1377,petrogustavo,"Enorme evento de mujeres en Sincelejo.

Presentaremos las propuestas de vivienda popular por alianza público populares

Y la propuesta de ingreso vital para madres cabeza de familia con hijos en la primera infancia, 500.000 pesos mensuales. https://t.co/CXBvsnS4s3",Tue Apr 12 22:42:36 +0000 2022,['hijo']
1381,petrogustavo,"¡Mi hija hermosa!

 https://t.co/7PbPEq6JvP a través de @YouTube",Tue Apr 12 00:32:54 +0000 2022,['hija']
1430,petrogustavo,Mi hija hermosa. https://t.co/drmyuQhzzF,Thu Apr 07 02:08:56 +0000 2022,['hija']
